Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB005950	XIA YE BAI XIAN	狭叶白鲜	Narrowleaf Dittary	Dictamnus angustifolius	NA	NA	root cortex	See Dictamnus dasycarpus .	See Dictamnus dasycarpus.	NA	NA	NA	NA	NA	7845	NA	NA
HERB005951	XIA YE CHONG LOU	狭叶重楼	Narrowleaf Paris	Paris polyphylla var. stenophylla	NA	NA	rhizome	See Paris polyphylla.	See Paris polyphylla.	NA	NA	NA	NA	NA	3145	NA	NA
HERB005952	XIA YE CU CAO SHI CHE JU UB	NA	Narrow Rough Star Thistle	Centaurea aspera subsp stenophylla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2619	NA	NA
HERB005953	XIA YE DANG GUI	狭叶当归	Narrowleaf Angelica	Angelica anomala	NA	NA	root	To dispel wind and eliminate damp, disperse swelling and relieve pain.	Wind-cold common cold, headache and nasal congestion, deep-source nasal congestion, gum swelling and pain, swelling of sores, vaginal discharge.	NA	NA	NA	NA	NA	3933	NA	NA
HERB005954	XIA YE HONG JING TIAN	狭叶红景天	Kirilow Rhodiola	Rhodiola kirilowii	NA	NA	rhizome and root	To nourish heart and quiet spirit, quicken blood and transform stasis, stanch bleeding, clear heat and resolve toxin.	Qi vacuity and general weakness, shortness of breath and hypodynamia, palpitation and insomnia, dizziness, chest oppression and pain, knocks and falls, menstrual disorder, flooding and spotting, blood ejection, dysentery, diarrhea.	NA	NA	NA	NA	NA	7647	NA	NA
HERB005955	XIA YE HU JIAO	狭叶胡椒	Matico Pepper	Piper angustifolium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1810	NA	NA
HERB005956	XIA YE JI GU CHANG SHAN	下野鸡骨常山	Narrowleaf Alstonia	Alstonia angustifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2893	NA	NA
HERB005957	XIA YE JIA REN SHEN	狭叶假人参	Panax pseudo-ginseng Wall. var. angustifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2583	NA	NA
HERB005958	XIA YE JIN JI ER	狭叶锦鸡儿	Nerrowleaf Peashrub	Caragana stenophylla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2726	NA	NA
HERB005959	XIA YE JUE MING	狭叶决明	Narrowleaf Senna	Cassia leptophylla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5713	NA	NA
HERB005960	XIA YE LONG SHE LAN	狭叶龙舌兰	Shortleaf Agave	Agave cantala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1325	NA	NA
HERB005961	XIA YE LONG SHE LAN	狭叶龙舌兰	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4796	NA	NA
HERB005962	XIA YE QING HAO	狭叶青蒿	Tarragon	Artemisia dracunculus	NA	NA	whole herb or root	To dispel wind and dissipate cold, diffuse lung and suppress cough.	Wind-cold common cold, cough and asthma.	NA	NA	NA	NA	NA	7565	NA	NA
HERB005963	XIA YE SHAN HU JIAO	狭叶山胡椒	Narrowleaf Spicebush	Lindera angustifolia	NA	NA	root or branch-leaf	To dispel wind, eliminate damp, move qi and dissipate cold, resolve toxin and disperse swelling.	Wind-cold common cold, headache, wind-damp impediment pain, numbness in limbs, dysentery, enteritis, knocks and falls, toxin swelling of sores, urticaria, scrofula.	NA	NA	NA	NA	NA	5496	NA	NA
HERB005964	XIA YE SHE GEN CAO	狭叶蛇根草	Hayata Ophiorrhiza	Ophiorrhiza hayatana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1864	NA	NA
HERB005965	XIA YE TANG SONG CAO	小叶唐松草	Narrowleaf Meadowrue	Thalictrum incidum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6498	NA	NA
HERB005966	XIA YE WU WEI ZI	狭叶五味子	Narrowleaf Magnoliavine	Schisandra lancifolia	NA	NA	lianoid stem and root	To quicken blood and dispel stasis, disperse swelling and relieve pain.	Knocks and falls, fracture, wind-damp lumbago.	NA	NA	NA	NA	NA	3949	NA	NA
HERB005967	XIA YE XIANG CHA CAI	狭叶香茶菜	Narrowleaf Rabdosia	Isodon angustifolia	NA	NA	root	To fortify stomach and harmonize center, quicken blood and free network vessels.	Indigestion, Kersan disease with hypertonicity and pain, carcinoma.	NA	NA	NA	NA	NA	1903	NA	NA
HERB005968	XIA YE XIANG PU	狭叶香蒲	Narrowleaf Cattail Pollen	Typha angustifolia	NA	NA	pollen	See Typha angustata .	See Typha angustata .	NA	NA	NA	NA	NA	4193	NA	NA
HERB005969	XIA YE ZHANG YA CAI	狭叶獐牙菜	Narrowleaf Swertia	Swertia angustifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5109	NA	NA
HERB005970	XIA ZHI CAO	夏至草	Lagopsis	Lagopsis supina	NA	NA	whole herb	To nourish body and quicken blood, clear heat and disinhibit damp.	Menstrual disorder, postpartum abdominal pain due to stasis obstruction, dizzy head due to blood vacuity, hemiplegia, knocks and falls, edema, inhibited urination, red eyes with gall, welling abscess and sores, frostbite (kibe), toothache, itchy skin.	NA	NA	NA	NA	NA	947	NA	NA
HERB005971	XIA ZI HUA	虾子花	Shrubby Woodwardia	Woodfordia fruticosa	NA	NA	root or flower	To quicken blood and stanch bleeding, soothe sinews and quicken network vessels.	Dysmenorrhea, menstrual block, flooding, nosebleed(epistaxis), coughing of blood, intestinal wind bleeding, dysentery, wind-damp impediment pain, taxation damage in lumbar muscle, knocks and falls.	NA	NA	NA	NA	NA	4383	NA	NA
HERB005972	XIAN CHI SHE PU TAO	显齿蛇葡萄	Bigdentate Ampelopsis	Ampelopsis grossedentata [Syn. Ampelopsis cantoniesis var. grossedentata ]	NA	NA	stem-leaf or root	To clear heat and resolve toxin, disinhibit damp and disperse swelling.	Common cold with fever, swelling pain in throat, icterohepatitis, red eyes with gall, swollen sore of welling abscess and boil.	NA	NA	NA	NA	NA	1122	NA	NA
HERB005973	XIAN CHI ZI JIN NIU	腺齿紫金牛	Glandtooth Ardisia	Ardisia cornudentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4622	NA	NA
