Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB000001	A BI XI NI YA CI TONG	阿比西尼亚刺桐	Abyssinia Coralbean	Erythrina abyssinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6286	NA	NA
HERB000002	A BI XI NI YA NIU JIN GUO	阿比西尼亚牛筋果	Abyssinia Harrisonia	Harrisonia abyssinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4984	NA	NA
HERB000003	A ER JI ER DA CHI JI	阿尔及利亚棉蓟	Algerian Cottonthistle	Onopordum algeriense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2229	NA	NA
HERB000004	A ER JI LI YA BU XUE CAO	阿尔及利亚补血草	Algerian Statice	Limonium bonduellii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2187	NA	NA
HERB000005	A ER JI LI YA YUAN WEI	阿尔及利亚鸢尾	Algerian Iris	Iris unguicularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5086	NA	NA
HERB000006	A ER TAI YIN LIAN HUA	阿尔泰银莲花	Altai Anemone	Anemone altaica	NA	NA	rhizome	To transform phlegm and open orifices, quiet spirit, diffuse damp and arouse spleen, resolve toxin.	Febrile diseases clouded spirit, epilepsy, qi -block deafness, heavy dreams and amnesia, oppression in chest and abdomen distention, inappetence, wind-damp impediment pain, welling abscess and flat abscess, scab and lichen.	NA	NA	NA	NA	NA	3337	NA	NA
HERB000007	A ER TAI ZI WAN	阿尔泰紫菀	Altai Heteropappus	Heteropappus altaicus	NA	NA	whole herb	To clear heat and downbear fire, expel pus and relieve cough.	Febrile diseases, liver gallbladder effulgent fire, pulmonary welling abscess, hacking of pus blood, cystitis, zoster, sore and boil.	NA	NA	NA	NA	NA	8058	NA	NA
HERB000008	A FU HAN DING XIANG	阿富汗丁香	Afghanistan Lilac	Syringa afghanica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7658	NA	NA
HERB000009	A FU HAN DU JUAN HUA	阿富汗杜鹃花	HCollett’s Rhododendron	Rhododendron collettianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5047	NA	NA
HERB000010	A FU HAN TANG JIE	阿富汗黑麦草	Afghanistan Erysimum	Erysimum perofskianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6978	NA	NA
HERB000011	A FU ZE ER MA QIAN ZI	阿福泽尔马钱子	Afzel Poisonnut	Strychnos afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1525	NA	NA
HERB000012	A FU ZE LI SHAN ZHU ZI	NA	Afzeli Garcinia	Garcinia afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5917	NA	NA
HERB000013	A GEN TING SHANG LU	NA	Ombutree Pokeberry	Phytolacca dioica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1103	NA	NA
HERB000014	A GEN TING SHU QU CAO	阿根廷鼠曲草	Argentine Cudweed	Gnaphalium gaudichaudianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4379	NA	NA
HERB000015	A GU JI TIAN JIE CAI	NA	Arguzioid Heliotrope	Heliotropium arguzioides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5451	NA	NA
HERB000016	A JIANG LAN REN	阿江榄仁	NA	Terminalia arjuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7123	NA	NA
HERB000017	A KA XI A LAN REN	NA	Acacia Terminalia	Terminalia stuhlmannii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3753	NA	NA
HERB000018	A LA BO JIAO JIN HE HUAN	阿拉伯胶金合欢	Gum-arabic Tree	Acacia nilotica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1316	NA	NA
HERB000019	A LA BO JIN HE HUAN	阿拉伯金合欢	Arabian Acacia	Acacia arabica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5352	NA	NA
HERB000020	A LA BO PO PO NA	阿拉伯婆婆纳	Iran Speedwell	Veronica persica	NA	NA	whole herb	To dispel wind and eliminate damp, strengthen lumbus, interrupt malaria.	Wind-damp impediment pain, kidney vacuity lumbago, enduring malaria.	NA	NA	NA	NA	NA	7039	NA	NA
HERB000021	A LI HONG	阿里红	Fomes Officinalis Sporocarp	Fomes officinalis	NA	NA	sporocarp	To relieve cough and calm asthma, dispel wind and eliminate damp, disperse swelling and relieve pain, disinhibit urine, resolve snake toxin.	Cough, asthma, chronic rheumatic arthritis, swelling pain in throat, stomachache, urethral stone, periodontitis, edema, poisonous snake bite.	NA	NA	NA	NA	NA	5602	NA	NA
HERB000022	A LI SHAN WU WEI ZI	阿里山五味子	Taiwan Magnoliavine	Schisandra arisanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3297	NA	NA
HERB000023	A LU HA LIANG JIANG	NA	Allugha Galangal	Alpinia allughas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2536	NA	NA
HERB000024	A LUN DUO QIE	NA	Arundo Nightshade	Solanum arundo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7494	NA	NA
HERB000025	A MAN SU DAN MO YAO	阿曼苏丹没药	Sultanate-Oman Myrrhtree	Commiphora wightii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5281	NA	NA
HERB000026	A NUO TI HUA JIAO	阿诺特花椒	Arnotti Pricklyash	Zanthoxylum arnottianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4170	NA	NA
HERB000027	A SHI HAO	NA	Ashurbajev Wormwood	Artemisia ashurbajevii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2649	NA	NA
HERB000028	A SU JUE MING	NA	Absus Senna	Cassia absus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1793	NA	NA
HERB000029	A WEI	阿魏	Asafetida Giantfennel Resin	Ferula assafoetida	Warm; Pungent; Bitter	Spleen; Stomach; Liver	balsam	To transform concretion and disperse accumulation, kill worms, interrupt malaria.	Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery.	NA	NA	Food digestion	消食	NA	4866	NA	1
HERB000030	A YA PAN ZE LAN	NA	Ayapana Eupatorium	Eupatorium ayapana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4709	NA	NA
HERB000031	A YU WEI	NA	Ajowan	Trachyspermum ammi	NA	NA	fruit	To dissipate cold and relieve pain, resolve toxin and disinhibit damp.	Cold pain in stomach duct and abdomen, indigestion, vomiting nausea, diarrhea, cold mounting, dysmenorrhea, urethral stone, swelling pain of sore and boil.	NA	NA	NA	NA	NA	4447	NA	NA
HERB000032	A YU WEI SHI	阿育魏实	Fructus Trachyspermi ammi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2977	NA	NA
HERB000033	A YUE HUN ZI	阿月浑子	Common Pistache	Pistacia vera	NA	NA	fruit	To warm kidney, warm spleen.	Kidney vacuity lumbar cold, impotence, spleen vacuity cold dysentery.	NA	NA	NA	NA	NA	6740	NA	NA
HERB000034	ACICULAR THOROWAX	NA	NA	Bupleurum bicaule, ZHUI YE CHAI HU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6762	NA	NA
HERB000035	AI DA HUANG	矮大黄	Low Rhubarb	Rheum nanum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1807	NA	NA
HERB000036	AI DI CHA	矮地茶	Japanese Ardisia Herb	Ardisiae japonicae	Mild; Pungent; Bitter	Lung; Liver	NA	1. To eliminate phlegm and relieving cough.2. To promote diuresis to deprive dampness. 3. To activate blood circulation and stop bleeding.	1. Bergenin, an active comonent, is an expectorant. 2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro.	NA	1. Bergenin, an active comonent, is an expectorant.  2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro. 	Antitussive Antiasthmetics	止咳平喘药	SMHB00001	7629	1	2
HERB000037	AI JI CHE ZHOU CAO	埃及车轴草	Egyptian Clover	Trifolium alexandrinum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7725	NA	NA
HERB000038	AI JI DA CHI JI	埃及大翅蓟	Egyptian Cottonthistle	Onopordum alexandrinum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3409	NA	NA
HERB000039	AI JI JIA HU CI	埃及假虎刺	Egyptian Carissa	Carissa edulis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7495	NA	NA
HERB000040	AI JI QIAN LI GUANG	埃及千里光	Egyptian Groundsel	Senecio aegypticus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1972	NA	NA
HERB000041	AI JI SHU WEI CAO	埃及鼠尾草	Egyptian Sage	Salvia aegyptiaca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4882	NA	NA
HERB000042	AI JI TIAN JING	NA	Indian Sesbania	Sesbania sesban	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1386	NA	NA
HERB000043	AI JI ZAI PEI CI TONG	NA	Egypt Cultivate Coralbean	Erythrina lysistemon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016	NA	NA
HERB000044	AI JI ZHONG ZHI YUAN WEI	埃及种植鸢尾	Egypt Planted Iris	Iris carthaliniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7666	NA	NA
HERB000045	AI JING DOU	NA	Dwarf Gorse	Ulex nanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1853	NA	NA
HERB000046	AI JU	艾菊	Tansy	Chrysanthemum vulgare	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1506	NA	NA
HERB000047	AI LAI MU	NA	Dwarf Cornel	Cornus suecica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4707	NA	NA
HERB000048	AI LI SI DUO KONG JUN	埃利斯多孔菌	Ellisi Porous Agaric	Polyporus ellisii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7592	NA	NA
HERB000049	AI MA HUANG	艾麻黄	Small Ephedra	Ephedra minuta	NA	NA	herbaceous twigs	See Ephedra sinica.	See Ephedra sinica.	NA	NA	NA	NA	NA	2810	NA	NA
HERB000050	AI NA XIANG	艾纳香	Balsamiferous Blumea	Blumea balsamifera	NA	NA	Branchlet-leaf	To dispel wind and eliminate damp, warm center and check diarrhea, quicken blood and resolve toxin.	Wind-cold common cold, head wind headache, wind-damp impediment pain, cold-damp diarrhea and dysentery, taeniasis, poisonous snake bite, painful wound from knocks and falls, lichen sore.	NA	NA	NA	NA	NA	6494	NA	NA
HERB000051	AI QIE	NA	Dwarf Nightshade	Solanum demissum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5339	NA	NA
HERB000052	AI SAI E BI YA YU SHAN DOU	埃塞俄比亚羽扇豆	Narrowleaf Lupin	Lupinus angustifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3126	NA	NA
HERB000053	AI SAI E BI YA ZAO	NA	Ethiopian Jujube	Zizyphus abyssinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1737	NA	NA
HERB000054	AI SHENG BO LAN DI	NA	NA	Berlandiera pumila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4595	NA	NA
HERB000055	AI SHENG XIONG GUO	NA	Low Bearberry	Arctostaphylos pumila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7537	NA	NA
HERB000056	AI SHENG YA CONG	NA	Viper’s-glass	Scorzonera humilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1427	NA	NA
HERB000057	AI SHI	艾实	Fructus Artemiiae argyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6848	NA	NA
HERB000058	AI SHI BAI MU	NA	Abrams Cypress	Cupressus abramsiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7830	NA	NA
HERB000059	AI SHI TIAN JIE CAI	NA	Eichwald Heliotrope	Heliotropium eichwaldii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2824	NA	NA
HERB000060	AI SHI TIANJIE CAI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3615	NA	NA
HERB000061	AI SI XING CI TONG	NA	S-shape Coralbean	Erythrina sigmoidea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4231	NA	NA
HERB000062	AI TONG ZI	矮桐子	Farges Glorybower	Clerodendron trichotomum var. fargesii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5820	NA	NA
HERB000063	AI WA JIN GU CAO	爱娃筋骨草	Iva Bugle	Ajuga iva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4003	NA	NA
HERB000064	AI XI SHOU SHI LI LU	NA	Eschscholtz Falsehellebore	Veratrum eschscholtzii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6327	NA	NA
HERB000065	AI XIANG RI KUI	矮向日葵	Dwarf Sunflower	Helianthus pumilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5943	NA	NA
HERB000066	AI YE	艾叶	leaf of Argy Wormwood	Folium Artemisiae Argyi	Warm; Pungent; Bitter	Spleen; Liver; Kidney	leaf	1. To warm the channels and stop bleeding. 2. To dispel cold and stop pain	Cold pain in abdomen, menstrual disorder due to cold, infertility due to uterus cold, blood ejection, spontaneous external bleeding, flooding and spotting, fetal spotting, itchy skin.	NA	NA	Channel-Warming Hemostatic	温经止血药	SMHB00002	6218	2	3
HERB000067	AI YE HUANG QIN	艾叶黄芩	Przewalsk Skullcap	Scutellaria przewalskii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3574	NA	NA
HERB000068	AI ZI JIN NIU	矮紫金牛	Low Ardisia	Ardisia humilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7856	NA	NA
HERB000069	AN BEI JU	NA	Muricate Amberboa	Amberboa muricata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7526	NA	NA
HERB000070	AN CI BAI	NA	Shore Juniper	Juniperus conferta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2401	NA	NA
HERB000071	AN GE LA BA JIAO FENG	安哥拉八角枫	Angola Alangium	Alangium lamarckii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4936	NA	NA
HERB000072	AN GE LA BAJ IAO FENG	安哥拉八角枫	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4580	NA	NA
HERB000073	AN GE LA HUANG GUA	安哥拉黄瓜	Angola Cucumber	Cucumis angolensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1120	NA	NA
HERB000074	AN GE LA ZI TAN	安哥拉紫檀	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2600	NA	NA
HERB000075	AN GU SI TU LA SHU	NA	Angostura-bark Tree	Galipea officinalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1593	NA	NA
HERB000076	AN HONG TUAN WANG JUN	NA	Carnival Candy Slime	Arcyria denudata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8147	NA	NA
HERB000077	AN HONG WE LING CAI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2931	NA	NA
HERB000078	AN HONG WEI LING CAI	暗红委陵菜	Darksanguine Cinquefoil	Potentilla atrosanguinea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6090	NA	NA
HERB000079	AN HUANG ZHU SHI DOU	NA	Flavescent Crotalaria	Crotalaria fulva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1819	NA	NA
HERB000080	AN HUI BEI MU	安徽贝母	Anhui Fritillary	Fritillaria anhuiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7222	NA	NA
HERB000081	AN HUI CONG MU	NA	Subcapitate Aralia	Aralia subcapitata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5088	NA	NA
HERB000082	AN HUI SONG MU	安徽松木	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2169	NA	NA
HERB000083	AN HUI YIN LIAN HUA	安徽银莲花	Anhui Anemone	Anemone anhuiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7136	NA	NA
HERB000084	AN JI BI LIN	氨基比林	Aminopyrine	Aminopyrinum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7424	NA	4
HERB000085	AN LU LONG SHE LAN	龙舌兰	Peyote	Lophophora williamsii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1922	NA	NA
HERB000086	AN LUO	安罗	Suberous Greenstar	Polyalthia suberosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA
HERB000087	AN MO LE	NA	Emblic Leafflower	Phyllanthus emblica	NA	NA	fruit	To relieve cough and transform phlegm, engender liquid and allay thirst, resolve toxin.	Common cold with fever, cough, throat pain, diphtheria, enteritis, diarrhea, eczema, heat vexation and thirst.	NA	NA	NA	NA	NA	1826	NA	NA
HERB000088	AN NAI JIN	安乃近	Analgin	Analginum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5903	NA	5
HERB000089	AN SHI JIN SI TAO	NA	Ancher StJohn’swort	Hypericum ancherii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7308	NA	NA
HERB000090	AN XI XIANG	安息香	Benzoin	Benzoinum	Mild; Pungent; Bitter	Spleen; Heart	balsam	To restore consciousness. To activate the flow of qi and blood. To relieve pain.	Sudden stroke and fulminant reversal, pain in heart and abdomen, postpartum blood dizziness, child fright epilepsy, wind impediment and lumbago.	NA	NA	Resuscitative Stimulant; Resuscitative Medicinal	开窍药	SMHB00003	5347	3	6
HERB000091	AN YE	按叶	Eucalyptus Leaf	Eucalyptus globulus	NA	NA	leaf	To soothe wind and resolve exterior, clear heat and resolve toxin, rectify qi and transform phlegm, kill worms and relieve itch.	Common cold, ardent fever with headache, lung heat cough asthma, pertussis, diarrhea, dysentery, ancylostomiasis, filariasis, wind-damp pain, swelling toxin of welling abscess and sore, eczema, scab and lichen, burns and scalds, bleeding due to external injury.	NA	1. Its decoction is a broad-spectrum bacteriostatic. 2. Stimulating the mucosa of respiratory tract directly, promoting secretion and expectoration. 3. Its volatile oil kills trichomonas vaginalis in vitro. 4. Its volatile oil is also an analgesic.	For relieving exterior syndrome	解表	NA	4716	NA	191
HERB000092	AN YOU	按油	Eucalyptus Oil	Oleum Eucalypti	NA	NA	Eucalyptus globulus Labill.；Cinnamomum camphora (L.) Sieb.	Skin irritant. Used in nerval pain.	Skin irritant. Used in nerval pain.	NA	NA	NA	NA	NA	7099	NA	897
HERB000093	AN ZI BEI MU	暗紫贝母	Unibract Fritillary	Fritillaria unibracteata	NA	NA	bulb	See Fritillaria cirrhosa .	See Fritillaria cirrhosa .	NA	NA	NA	NA	NA	2707	NA	NA
HERB000094	AN ZI YU PAN	NA	Low Uvaria	Uvaria chamae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2737	NA	NA
HERB000095	AN ZONG TAN TUAN JUN	暗棕炭团菌	NA	Hypoxylon fuscum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7828	NA	NA
HERB000096	AO DA LI YA HONG DOU SHAN	澳大利亚红豆杉	Australia Yew	Austrotaxus spicata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2190	NA	NA
HERB000097	AO DA LI YA QIAN JIN TENG	澳大利亚千金藤	Australia Stephania	Stephania japonica var. australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2238	NA	NA
HERB000098	AO DA LI YA SANG	澳大利亚桑	Japanese Mulberry	Morus australis	NA	NA	leaf	See Morus alba.	See Morus alba.	NA	NA	NA	NA	NA	3812	NA	NA
HERB000099	AO DA LI YA YAN DIAN	NA	NA	Baptisia australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4797	NA	NA
HERB000100	AO DAO LA MU HAI MANG GUO	NA	Odollam Cerberustr ee	Cerbera odollam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2499	NA	NA
HERB000101	AO DI LI LIN MAO JUE	奥地利鳞毛蕨	Broad Buckler-fern	Dryopteris austriaca	NA	NA	rhizome	To expel worms.	Taeniasis.	NA	NA	NA	NA	NA	4991	NA	NA
HERB000102	AO ER JIA TIAN JIE CAI	NA	Olga Heliotrope	Heliotropium olgae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7807	NA	NA
HERB000103	AO LEI TONG QI MU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2268	NA	NA
HERB000104	AO LI FO HUANG TAN	NA	Oliver Rosewood	Dalbergia oliveri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2662	NA	NA
HERB000105	AO LIE GE LONG DAN	NA	Olga Gentian	Gentiana olgae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4274	NA	NA
HERB000106	AO MA JIN QUE HUA	NA	Osmarien Broom	Cytisus osmariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5243	NA	NA
HERB000107	AO MAI DING GONG TENG	凹脉丁公藤	Elliptical Erycibe	Erycibe elliptilimba	NA	NA	root and stem	To dispel wind and relieve pain.	NA	NA	NA	NA	NA	NA	7191	NA	NA
HERB000108	AO PA CAO	NA	NA	Oppopanax chironium	NA	NA	stem and root	To resolve spasm, dispel phlegm. [5509]	Spasm, abundant phlegm, menstrual disorder. [5509]	NA	NA	NA	NA	NA	2408	NA	NA
HERB000109	AO SHE LAN	凹舌兰	Frog Orchid	Coeloglossum viride [Syn. Coeloglossum viride var. bracteatum]	NA	NA	tuber	See Gymnadenia conopsea .	See Gymnadenia conopsea.	NA	NA	NA	NA	NA	3161	NA	NA
HERB000110	AO SHI DAN NI SU MU	NA	NA	Daniellia oliveri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1485	NA	NA
HERB000111	AO SHI JIN SI TAO	NA	Aucher StJohn’swort	Hypericum aucheri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4061	NA	NA
HERB000112	AO SHI LONG DAN	NA	Olivier Gentian	Gentiana olivieri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1486	NA	NA
HERB000113	AO TOU WU HUAN ZI	NA	Emarginate Soapberry Seed	Sapindus emarginatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4872	NA	NA
HERB000114	AO TOU XIAN	凹头苋	Emarginate Amaranth	Amaranthus lividus	NA	NA	whole herb or root	To clear heat and resolve toxin, disinhibit urine.	Dysentery, diarrhea, swelling toxin of clove sore, poisonous snake bites, stings, inhibited urination [=dysuria], edema.	NA	NA	NA	NA	NA	3577	NA	NA
HERB000115	AO TUO ROU DOU KOU	奥托肉豆蔻	Otoba Nutmeg	Myristica otoba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4843	NA	NA
HERB000116	AO XIAN ZI JIN	NA	Bulbous Corydalis	Corydalis cava	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3332	NA	NA
HERB000117	AO YE HOU PO	凹叶厚朴	Twolobed Officinal Mangolia	Magnolia biloba	NA	NA	bark	See Magnolia officinalis .	See Magnolia officinalis.	NA	NA	NA	NA	NA	2171	NA	NA
HERB000118	AO YE RUI XIANG	凹叶瑞香	Retuseleaf Daphne	Daphne retusa	NA	NA	stem bark and root cortex	See Daphne tangutica.	See Daphne tangutica.	NA	NA	NA	NA	NA	944	NA	NA
HERB000119	AO YE YE BAI HE	凹叶野百合	Crotalaria retusa Linn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1137	NA	NA
HERB000120	AO ZHOU BAI MAI GEN	澳洲百脉根	Austral Bird’s Foot Trefoil	Lotus australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6224	NA	NA
HERB000121	AO ZHOU JIAN GUO	澳洲坚果	Queensland Nut	Macadamia ternifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3384	NA	NA
HERB000122	AO ZHOU QIE	澳洲茄	Australian Nightshade	Solanum aviculare [Syn. Solanum laciniatum]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8198	NA	NA
HERB000123	AO ZHOU SHANG LU	澳洲商陆	Octapistil Pokeweed	Phytolacca octandra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3552	NA	NA
HERB000124	AO ZHU SHI DOU	澳洲屎豆	Yellow-flowering Pea	Crotalaria retusa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3813	NA	NA
HERB000125	BA BEI SUAN TENG ZI	NA	NA	Embelia barbeyana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2342	NA	NA
HERB000126	BA BI CUI QUE HUA	NA	Barbey Larkspur	Delphinium barbeyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2710	NA	NA
HERB000127	BA BU YA XIN JI NEI YA SHI	NA	Papua-New-Guinea Persimmon	Diospyros mafiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6483	NA	NA
HERB000128	BA DAN XING REN	巴旦杏仁	Amygdalate Apricot Seed	Prunus amygdalus	NA	NA	seed	To moisten lung and suppress cough, transform phlegm and precipitate qi.	Vacuity taxation cough, fullness and oppression in heart and abdomen.	NA	NA	NA	NA	NA	5150	NA	NA
HERB000129	BA DOU	巴豆	Croton Fruit	Fructus Crotonis	Hot; Pungent	Large Intestine; Stomach	dried seed	1. To drain accumulated cold downward; 2. To transform water and reduce edema; 3. To resolve phlegm and benefit throat	Distention fullness and sudden pain in chest and a bdomen, fecal stoppage, diarrhea and dysentery, edema and enlarged abdomen, phlegm-rheum asthma fullness, throat wind, throat impediment, concretion and conglomeration, welling abscess and flat abscess, malign sore and scab lichen.	Extremely Toxic	NA	Offensive Purgative Medicinal	攻下药	SMHB00006	4179	6	7
HERB000130	BA DOU SHUANG	巴豆霜	Defatted Croton Seed Powder	Semen Crotonis Pulveratum	Hot; Pungent	Lung; Large Intestine; Stomach	Croton tiglium L.	Treatment of constipation and indigestion due to accumulation of cold; ascites and edema with oliguria and constipation; inflammation of the throat.	Treatment of constipation and indigestion due to accumulation of cold; ascites and edema with oliguria and constipation; inflammation of the throat.	Slightly Toxic	NA	Purging	泻下	NA	2668	NA	8
HERB000131	BA FA LI YA LONG DAN	巴伐利亚龙胆	Bavarian Gentian	Gentiana bavarica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5282	NA	NA
HERB000132	BAI XIAN PI	白鲜皮	Densefruit Pittany Root-bark Equivalent plant: Dictamnus angustifolius	Dictamnus dasycarpus	NA	NA	root cortex	To clear heat and dry damp, dispel wind and relieve itch, resolve toxin.	Dermatitis, psoriasis, icterohepatitis, damp-heat sore and papules, profuse pus, yellow-water sore, damp ulceration on skin, itchy skin, damp-heat jaundice, damp-heat impediment.	NA	NA	NA	NA	SMHB00025	2633	NA	NA
